Title,Location,Rating,Image URL,Link
Cafe Monarch,Scottsdale,4.9 (406),https://resizer.otstatic.com/v2/photos/huge/3/68721100.jpg,https://www.opentable.com/r/cafe-monarch-scottsdale?ot_marketing=true
Dominick's Steakhouse,Scottsdale,4.9 (1050),https://resizer.otstatic.com/v2/photos/huge/1/71549806.jpg,https://www.opentable.com/dominicks-steakhouse
Addison By William Bradley,San Diego,4.8 (277),https://resizer.otstatic.com/v2/photos/huge/2/67686211.jpg,https://www.opentable.com/r/addison-by-william-bradley?ot_marketing=true
Antico Nuovo,Los Angeles,4.8 (404),https://images.otstatic.com/prod1/50891098/3/huge.jpg,https://www.opentable.com/r/antico-nuovo-los-angeles?ot_marketing=true
Bavel,Los Angeles,4.8 (877),https://images.otstatic.com/prod/25352483/1/huge.jpg,https://www.opentable.com/r/bavel-los-angeles?ot_marketing=true
Bestia,Los Angeles,4.7 (1164),https://images.otstatic.com/prod/23933357/1/huge.jpg,https://www.opentable.com/r/bestia-los-angeles?ot_marketing=true
Cesarina,San Diego,4.9 (1031),https://images.otstatic.com/prod/26137758/0/huge.jpg,https://www.opentable.com/r/cesarina-san-diego?ot_marketing=true
Cowboy Star,San Diego,4.9 (472),https://resizer.otstatic.com/v2/photos/huge/2/67094489.jpg,https://www.opentable.com/r/cowboy-star-san-diego?ot_marketing=true
Evvia,Palo Alto,4.8 (423),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/319b105bf1548d8a321968fa1b467ce9.webp,https://www.opentable.com/evvia
Fishing With Dynamite,Manhattan Beach,4.9 (381),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/d64b5200f3535d80eb58ede7a39e4498.webp,https://www.opentable.com/r/fishing-with-dynamite-manhattan-beach?ot_marketing=true
Four Kings,San Francisco,4.6 (261),https://resizer.otstatic.com/v2/photos/huge/3/62832922.jpg,https://www.opentable.com/r/four-kings-san-francisco?ot_marketing=true
House of Prime Rib,San Francisco,4.8 (1768),https://resizer.otstatic.com/v2/photos/huge/2/70559902.png,https://www.opentable.com/house-of-prime-rib
insideOUT,San Diego,4.8 (828),https://images.otstatic.com/prod1/53317189/3/huge.jpg,https://www.opentable.com/r/insideout-san-diego?ot_marketing=true
Jeune et Jolie,Carlsbad,4.9 (489),https://resizer.otstatic.com/v2/photos/huge/5/26333212.jpg,https://www.opentable.com/r/jeune-et-jolie-san-diego?ot_marketing=true
Kokkari Estiatorio,San Francisco,4.9 (817),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/4cb6e06daaa74e6940fcb2fb4fed94a8.webp,https://www.opentable.com/kokkari-estiatorio
Musso & Frank Grill,Los Angeles,4.8 (1054),https://images.otstatic.com/prod/24099509/1/huge.jpg,https://www.opentable.com/musso-and-frank-grill
Providence,Los Angeles,4.9 (249),https://resizer.otstatic.com/v2/photos/huge/3/57046057.jpg,https://www.opentable.com/r/providence-los-angeles?ot_marketing=true
Saffy's,Los Angeles,4.8 (641),https://images.otstatic.com/prod1/48267442/3/huge.jpg,https://www.opentable.com/r/saffys-west-hollywood?ot_marketing=true
The Dock,Newport Beach,5 (146),https://images.otstatic.com/prod1/55832739/3/huge.jpg,https://www.opentable.com/the-dock
The Progress,San Francisco,4.8 (444),https://resizer.otstatic.com/v2/photos/huge/2/59295714.jpg,https://www.opentable.com/r/the-progress-san-francisco-1?ot_marketing=true
